,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
0,인천광역시 중구 연안부두로 61,,2,,A05,A0502,A05020100,597467,39,2.00807E+13,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image3_1.jpg,126.5998643,37.45348843,6,2.02212E+13,10,032-882-8505,가덕도횟집,22348
1,인천광역시 계양구 경명대로 977,,2,,A05,A0502,A05020100,2876098,39,2.0221E+13,http://tong.visitkorea.or.kr/cms/resource/96/2876096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2876096_image3_1.jpg,126.7155151,37.54416049,6,2.0221E+13,2,,가든파티 계양점,21042
2,인천광역시 남동구 오봉동로4번길 9,(도림동),2,,A05,A0502,A05020100,2768130,39,2.02111E+13,,,126.7298895,37.41680055,6,2.02212E+13,4,,가리비칼국수,21656
3,인천광역시 미추홀구 소성로326번길 4,,2,,A05,A0502,A05020100,135696,39,2.00706E+13,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image3_1.jpg,126.683246,37.43739733,6,2.0221E+13,3,032-426-7270,가마솥손두부,22238
4,인천광역시 부평구 평천로 394,,2,,A05,A0502,A05020400,600680,39,2.00808E+13,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image3_1.jpg,126.7340169,37.51721673,6,2.02208E+13,6,032-512-8552,가보,21323
5,인천광역시 동구 어촌로 7,,2,,A05,A0502,A05020100,2835371,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/68/2835368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2835368_image3_1.jpg,126.6209366,37.48217714,6,2.02208E+13,5,,가연식당,22506
6,인천광역시 연수구 송도과학로28번길 8 더샵 송도트리플타워 East,SM1 225호,2,,A05,A0502,A05020100,2900016,39,2.02211E+13,http://tong.visitkorea.or.kr/cms/resource/08/2900008_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2900008_image3_1.jpg,126.6606774,37.38251442,6,2.02211E+13,8,,가온칼국수 송도본점,21984
7,인천광역시 강화군 남문안길20번길 8,,2,,C01,C0114,C01140001,2961651,25,2.02304E+13,http://tong.visitkorea.or.kr/cms/resource/82/2616982_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2616982_image3_1.jpg,126.4848944,37.74578293,6,2.02305E+13,1,,"가족, 연인이 함께 즐길 수 있는 문화 체험 여행 코스",23035
8,인천광역시 중구 구읍로 63 영종역사관,,2,,A02,A0207,A02070200,2986679,15,2.02304E+13,http://tong.visitkorea.or.kr/cms/resource/47/2987147_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2987147_image3_1.jpg,126.5777264,37.48912279,6,2.02305E+13,10,070-4123-8950,가족의 달 어린이 축제,22410
9,인천광역시 서구 담지로104번길 17-1,1층,2,,A05,A0502,A05020100,2833636,39,2.02208E+13,http://tong.visitkorea.or.kr/cms/resource/26/2833626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2833626_image3_1.jpg,126.6612369,37.53840742,6,2.02208E+13,7,,가좌동진천토종순대 청라점,22733
